product_id,shop_id,category,cost_price,unit_price,stock,sales_volume,return_rate,profit,demand_score,price_competitiveness_score,cart_abandonment_rate,loyalty_score,shop_performance_index,promotion_suggestion,price_adjustment
PROD_00001,SHOP_002,Clothing,223.76,386.1,71,754.0,0.046,116773.76,0.767,0.682,0.543,0.032,0.275,NO,INCREASE
PROD_00002,SHOP_038,Beauty,87.07,278.0,388,163.0,0.314,21349.41,0.406,0.409,0.818,0.337,0.274,YES,DECREASE
PROD_00003,SHOP_006,Home & Living,167.85,520.18,316,370.0,0.26,96467.95,0.734,0.332,0.271,0.289,0.264,NO,DECREASE
PROD_00004,SHOP_043,Sports,83.76,280.69,331,73.0,0.274,10436.9,0.254,0.81,0.223,0.379,0.992,YES,STABLE
PROD_00005,SHOP_005,Books,67.24,226.32,448,735.0,0.142,100320.62,0.69,0.577,0.786,0.459,0.412,YES,STABLE
PROD_00006,SHOP_033,Food & Grocery,150.59,440.64,440,112.0,0.069,30244.09,0.244,0.776,0.547,0.385,0.677,YES,STABLE
PROD_00007,SHOP_050,Books,194.08,274.07,222,161.0,0.204,10251.2,0.958,0.913,0.298,0.501,0.343,NO,STABLE
PROD_00008,SHOP_035,Food & Grocery,286.28,949.8,470,0.0,0.27,0.0,0.54,0.378,0.372,0.985,0.845,YES,DECREASE
PROD_00009,SHOP_009,Food & Grocery,199.63,673.77,84,271.0,0.237,98039.35,0.646,0.975,0.797,0.755,0.752,NO,STABLE
PROD_00010,SHOP_015,Sports,23.89,28.65,283,235.0,0.265,822.17,0.106,0.795,0.144,0.067,0.225,NO,STABLE
PROD_00011,SHOP_016,Beauty,236.46,720.64,97,96.0,0.044,44436.1,0.488,0.597,0.45,0.729,0.739,NO,STABLE
PROD_00012,SHOP_035,Sports,137.34,294.1,142,473.0,0.112,65842.96,0.931,0.61,0.746,0.55,0.24,YES,STABLE
PROD_00013,SHOP_011,Electronics,116.8,404.77,135,465.0,0.128,116766.08,0.727,0.811,0.688,0.662,0.589,YES,INCREASE
PROD_00014,SHOP_004,Food & Grocery,288.43,385.99,95,70.0,0.268,4998.97,0.708,0.465,0.19,0.89,0.397,NO,STABLE
PROD_00015,SHOP_043,Sports,216.28,370.04,202,134.0,0.302,14381.48,0.37,0.521,0.664,0.073,0.567,NO,STABLE
PROD_00016,SHOP_016,Clothing,114.01,173.38,426,556.0,0.317,22545.64,0.651,0.991,0.59,0.008,0.854,NO,STABLE
PROD_00017,SHOP_018,Food & Grocery,88.12,144.96,175,208.0,0.309,8169.5,0.868,0.654,0.288,0.908,0.241,NO,STABLE
PROD_00018,SHOP_048,Food & Grocery,135.34,380.08,287,9.0,0.05,2092.53,0.951,0.784,0.212,0.036,0.495,YES,DECREASE
PROD_00019,SHOP_044,Sports,,109.39,399,573.0,0.398,10617.44,0.466,0.734,0.216,0.93,0.892,NO,STABLE
PROD_00020,SHOP_043,Home & Living,259.9,794.06,136,163.0,0.354,56245.98,0.197,0.911,0.744,0.222,0.853,NO,STABLE
PROD_00021,SHOP_005,Books,290.23,524.14,328,521.0,0.18,99931.03,0.983,0.675,0.804,0.115,0.976,YES,STABLE
PROD_00022,SHOP_025,Clothing,270.35,431.66,22,725.0,0.196,94027.6,0.568,0.865,0.615,0.94,0.79,NO,STABLE
PROD_00023,SHOP_047,Clothing,270.51,633.46,341,418.0,0.147,129411.27,0.727,0.688,0.244,0.665,0.503,NO,STABLE
PROD_00024,SHOP_030,Toys,135.33,370.5,261,484.0,0.357,73187.73,0.964,0.815,0.594,0.284,0.731,NO,STABLE
PROD_00025,SHOP_002,Food & Grocery,18.63,64.5,-4,786.0,0.033,34864.04,0.473,0.741,0.246,0.696,0.596,NO,STABLE
PROD_00026,SHOP_004,Beauty,169.43,560.14,62,467.0,0.06,171513.88,0.518,0.672,0.519,0.317,0.804,NO,STABLE
PROD_00027,SHOP_048,Food & Grocery,259.14,572.09,384,253.0,0.378,49247.69,0.35,0.844,0.463,0.239,0.552,NO,STABLE
PROD_00028,SHOP_045,Home & Living,,82.77,212,417.0,0.149,11600.6,0.519,0.344,0.725,0.389,0.816,YES,DECREASE
PROD_00029,SHOP_035,Home & Living,225.52,548.78,308,225.0,0.22,56732.13,0.346,0.64,0.392,0.669,0.839,YES,STABLE
PROD_00030,SHOP_006,Electronics,194.61,285.86,236,186.0,,16582.13,0.441,0.448,0.345,0.761,0.503,NO,STABLE
PROD_00031,SHOP_015,Toys,196.79,587.59,333,41.0,0.339,10591.07,0.955,0.44,0.115,0.152,0.301,NO,STABLE
PROD_00032,SHOP_050,Clothing,246.69,842.96,55,592.0,0.012,348755.94,0.381,0.774,0.819,0.397,0.772,YES,STABLE
PROD_00033,SHOP_037,Clothing,235.88,463.72,219,677.0,0.167,128488.32,0.555,0.539,0.737,0.822,0.284,NO,STABLE
PROD_00034,SHOP_040,Books,243.42,587.79,247,476.0,,131791.78,0.758,0.488,0.739,0.831,0.269,NO,STABLE
PROD_00035,SHOP_032,Food & Grocery,67.58,204.42,174,286.0,0.396,23638.29,0.731,0.493,0.108,0.948,0.268,NO,STABLE
PROD_00036,SHOP_006,Electronics,91.8,192.81,124,313.0,0.299,22162.91,0.432,0.687,0.358,0.997,0.64,NO,STABLE
PROD_00037,SHOP_013,Food & Grocery,68.83,157.47,370,603.0,0.439,29985.41,0.572,0.498,0.175,0.194,0.382,NO,STABLE
PROD_00038,SHOP_041,Food & Grocery,261.2,601.69,446,12.0,0.258,3031.72,0.522,0.608,0.238,0.051,0.953,NO,STABLE
PROD_00039,SHOP_006,Books,298.21,425.95,391,426.0,0.273,39561.33,0.812,0.458,0.492,0.451,0.554,NO,STABLE
PROD_00040,SHOP_041,Sports,67.25,181.71,80,245.0,0.078,25855.37,0.168,0.302,0.438,0.594,0.433,YES,DECREASE
PROD_00041,SHOP_028,Sports,38.86,65.22,76,272.0,0.372,4502.71,0.164,0.416,0.331,0.749,0.655,NO,DECREASE
PROD_00042,SHOP_029,Beauty,28.73,35.73,221,752.0,0.145,4500.72,0.325,0.364,0.821,0.836,0.66,YES,STABLE
PROD_00043,SHOP_018,Beauty,58.54,147.84,325,503.0,0.436,25333.7,0.523,0.586,,0.105,0.329,NO,STABLE
PROD_00044,SHOP_021,Clothing,79.46,113.03,395,413.0,0.389,8471.15,0.842,0.301,0.752,0.462,0.243,NO,DECREASE
PROD_00045,SHOP_019,Food & Grocery,134.24,374.65,62,29.0,0.438,3918.2,0.648,0.468,0.219,0.551,0.642,NO,STABLE
PROD_00046,SHOP_046,Beauty,91.1,255.78,212,494.0,0.441,45475.72,0.319,0.686,0.388,0.922,0.607,NO,STABLE
PROD_00047,SHOP_001,Books,88.44,163.76,300,593.0,0.45,24565.62,0.541,0.404,0.504,0.345,0.642,NO,DECREASE
PROD_00048,SHOP_050,Sports,126.18,239.45,242,722.0,0.411,48168.97,0.443,0.992,0.694,0.652,0.322,YES,STABLE
PROD_00049,SHOP_001,Beauty,218.12,460.99,335,158.0,0.034,37068.76,0.803,0.486,0.567,0.397,0.264,NO,STABLE
PROD_00050,SHOP_035,Beauty,15.59,20.44,323,700.0,0.414,1989.47,0.998,0.823,0.425,0.098,0.707,NO,STABLE
PROD_00051,SHOP_023,Books,115.58,172.46,271,421.0,0.255,17840.13,0.813,0.419,0.159,0.871,0.696,NO,DECREASE
PROD_00052,SHOP_030,Electronics,270.86,742.8,80,75.0,0.199,28351.8,0.411,0.711,0.579,0.424,0.4,NO,STABLE
PROD_00053,SHOP_002,Books,293.49,791.5,140,8.0,0.255,2968.14,0.717,0.821,0.137,0.606,0.597,NO,STABLE
PROD_00054,SHOP_041,Food & Grocery,33.66,88.34,20,316.0,0.355,11144.88,0.13,0.555,0.199,0.91,0.461,NO,STABLE
PROD_00055,SHOP_011,Books,80.81,249.54,246,302.0,0.336,33835.09,0.405,0.381,0.822,0.141,0.973,NO,DECREASE
PROD_00056,SHOP_001,Home & Living,83.02,119.58,188,688.0,0.337,16676.62,0.336,0.567,0.579,0.371,0.74,NO,STABLE
PROD_00057,SHOP_045,Beauty,94.15,198.61,71,46.0,0.426,2758.16,0.374,0.645,0.173,0.887,0.309,NO,STABLE
PROD_00058,SHOP_027,Food & Grocery,198.2,616.24,315,417.0,0.423,100584.19,0.352,0.783,0.263,0.445,0.389,NO,STABLE
PROD_00059,SHOP_013,Books,290.62,982.35,421,465.0,0.041,308466.62,0.291,0.748,0.828,0.051,0.467,YES,STABLE
PROD_00060,SHOP_022,Sports,,701.09,305,2.0,0.125,818.39,0.986,0.991,0.505,0.799,0.288,YES,INCREASE
PROD_00061,SHOP_034,Home & Living,,50.06,229,796.0,0.163,7681.89,0.634,0.616,0.266,0.615,0.782,NO,STABLE
PROD_00062,SHOP_044,Home & Living,36.85,104.07,227,75.0,0.405,2999.69,0.39,0.404,0.195,0.624,0.668,NO,DECREASE
PROD_00063,SHOP_042,Clothing,197.02,582.6,369,220.0,0.194,68371.05,0.899,0.59,0.721,0.399,0.784,NO,INCREASE
PROD_00064,SHOP_028,Clothing,33.49,96.66,415,133.0,0.25,6301.21,0.628,0.693,0.347,0.122,0.483,NO,STABLE
PROD_00065,SHOP_007,Toys,175.49,289.55,336,493.0,0.101,50552.19,0.197,0.892,0.376,0.763,0.659,NO,STABLE
PROD_00066,SHOP_039,Electronics,279.08,864.93,136,29.0,0.081,15613.49,0.732,0.516,0.355,0.006,0.896,NO,STABLE
PROD_00067,SHOP_022,Beauty,51.44,96.83,166,795.0,0.424,20784.99,0.637,0.918,0.217,0.754,0.24,NO,STABLE
PROD_00068,SHOP_023,Clothing,131.82,239.34,347,607.0,0.219,50971.68,0.7,0.332,,0.599,0.206,NO,DECREASE
PROD_00069,SHOP_012,Home & Living,43.11,103.53,117,512.0,0.251,23170.34,0.701,0.548,0.398,0.742,0.549,NO,STABLE
PROD_00070,SHOP_008,Books,124.48,425.79,87,632.0,0.207,151009.34,0.721,0.553,0.428,0.106,0.549,NO,STABLE
