request_id,ride_distance_km,pickup_distance_km,fare_offered,requested_seats,available_seats,passenger_rating,time_of_day,is_weekend,has_luggage,has_pets,passenger_gender,driver_gender,driver_decision
REQ_00000,109.8,9.0,35.73,2,4,3.4,afternoon,1,1,0,OTHER,MALE,ACCEPT
REQ_00001,501.1,0.6,150.0,2,4,3.8,night,1,0,0,MALE,MALE,REJECT
REQ_00002,46.7,1.4,25.18,1,4,3.1,evening,0,0,0,OTHER,FEMALE,ACCEPT
REQ_00003,91.7,7.7,136.61,3,4,4.4,afternoon,0,1,0,FEMALE,MALE,ACCEPT
REQ_00004,126.5,4.6,82.9,3,4,3.4,evening,1,1,0,OTHER,MALE,ACCEPT
REQ_00005,197.0,3.5,69.53,2,4,2.6,evening,0,0,0,MALE,FEMALE,REJECT
REQ_00006,115.1,4.0,150.0,4,4,4.0,night,0,0,0,MALE,MALE,ACCEPT
REQ_00007,63.8,5.0,59.57,2,4,3.5,afternoon,0,1,1,MALE,MALE,ACCEPT
REQ_00008,257.6,7.3,150.0,4,4,3.7,evening,0,0,1,OTHER,MALE,ACCEPT
REQ_00009,163.8,3.7,63.08,2,4,3.0,night,1,0,0,OTHER,MALE,REJECT
REQ_00010,130.4,2.6,61.73,3,4,2.3,afternoon,0,0,0,MALE,OTHER,REJECT
REQ_00011,116.5,3.1,39.62,1,4,1.5,morning,0,0,0,OTHER,MALE,REJECT
REQ_00012,131.4,7.4,86.88,2,4,4.6,afternoon,0,0,0,FEMALE,FEMALE,ACCEPT
REQ_00013,252.5,7.2,90.06,2,4,4.4,afternoon,1,0,1,MALE,MALE,REJECT
REQ_00014,248.5,6.6,150.0,4,4,2.7,afternoon,0,0,0,MALE,OTHER,ACCEPT
REQ_00015,139.7,7.9,46.02,1,4,1.8,morning,0,1,0,MALE,MALE,REJECT
REQ_00016,54.2,10.5,29.14,1,4,4.3,night,0,0,0,OTHER,OTHER,REJECT
REQ_00017,17.3,6.0,16.06,2,4,4.7,night,0,1,1,FEMALE,FEMALE,ACCEPT
REQ_00018,106.5,11.9,117.34,4,4,1.2,afternoon,1,1,1,OTHER,OTHER,ACCEPT
REQ_00019,10.0,10.3,4.88,2,4,3.7,morning,0,1,0,OTHER,MALE,REJECT
REQ_00020,89.8,7.3,24.76,1,4,3.7,night,0,0,0,FEMALE,MALE,REJECT
REQ_00021,69.5,3.8,73.47,3,4,3.2,morning,1,0,0,MALE,MALE,ACCEPT
REQ_00022,13.8,10.6,17.27,3,4,3.1,evening,1,0,0,OTHER,OTHER,ACCEPT
REQ_00023,210.4,10.6,150.0,3,4,1.8,morning,0,0,0,FEMALE,OTHER,ACCEPT
REQ_00024,130.3,3.2,33.2,1,4,3.5,morning,0,0,1,FEMALE,MALE,REJECT
REQ_00025,108.2,6.9,22.64,1,4,3.3,morning,0,0,0,MALE,FEMALE,REJECT
REQ_00026,123.0,11.2,55.32,1,4,4.9,evening,1,1,0,OTHER,FEMALE,REJECT
REQ_00027,22.9,11.7,21.72,2,4,4.5,night,1,0,0,FEMALE,OTHER,ACCEPT
