offer_id,base_price,offered_price,quantity,buyer_rating,buyer_account_age_months,is_return_customer,message_length,has_exchange_proposal,has_image_attachment,product_category,provider_decision
OFFER_00000,1282.46,535.44,3,2.0,9,0,346,0,0,Health,REJECT
OFFER_00001,69.3,38.33,5,3.4,36,1,332,0,0,Automotive,REJECT
OFFER_00002,1620.77,655.68,2,3.8,22,0,110,0,0,Clothing,REJECT
OFFER_00003,724.37,464.15,3,4.2,47,0,63,0,0,Food & Grocery,REJECT
OFFER_00004,1260.99,1285.98,3,3.3,46,1,338,0,0,Clothing,ACCEPT
OFFER_00005,1734.3,1155.2,4,3.5,24,1,181,0,0,Clothing,REJECT
OFFER_00006,350.57,319.15,2,2.8,18,0,327,0,0,Toys,ACCEPT
OFFER_00007,1554.24,870.89,1,4.2,26,0,108,0,0,Toys,REJECT
OFFER_00008,1003.47,1022.82,4,1.6,9,0,287,0,0,Books,REJECT
OFFER_00009,804.81,445.48,2,3.0,6,0,440,0,0,Books,REJECT
OFFER_00010,775.69,633.83,4,3.1,36,0,5,0,1,Food & Grocery,ACCEPT
OFFER_00011,1539.51,982.4,3,2.7,30,1,369,0,0,Food & Grocery,REJECT
OFFER_00012,1020.29,484.11,3,4.4,33,0,78,0,0,Food & Grocery,REJECT
OFFER_00013,1201.9,891.84,1,4.7,20,0,123,0,0,Clothing,REJECT
OFFER_00014,1633.89,1772.1,5,4.1,9,0,484,0,0,Health,ACCEPT
OFFER_00015,431.48,335.48,2,3.9,26,0,332,0,0,Automotive,ACCEPT
OFFER_00016,457.15,291.05,5,3.2,38,0,36,0,1,Clothing,REJECT
OFFER_00017,1720.67,773.61,2,2.1,32,0,67,0,0,Health,REJECT
OFFER_00018,1571.39,1516.78,2,1.4,43,0,216,0,0,Electronics,ACCEPT
OFFER_00019,1968.49,923.01,4,3.9,7,0,97,0,1,Home & Garden,REJECT
OFFER_00020,507.11,530.58,4,4.2,36,1,333,0,0,Clothing,ACCEPT
OFFER_00021,1698.9,877.34,4,2.9,26,0,84,0,0,Beauty,REJECT
OFFER_00022,1572.41,942.93,5,3.6,32,1,151,0,1,Food & Grocery,ACCEPT
OFFER_00023,634.07,275.88,4,3.0,34,1,491,0,0,Clothing,REJECT
OFFER_00024,1353.67,764.34,1,4.8,37,0,304,1,1,Health,REJECT
OFFER_00025,639.58,372.58,3,2.0,26,1,330,0,0,Clothing,ACCEPT
OFFER_00026,1246.11,989.53,1,1.3,14,0,67,0,0,Sports,REJECT
OFFER_00027,323.92,318.61,3,3.4,42,0,341,0,0,Clothing,ACCEPT
OFFER_00028,277.24,133.3,1,4.0,10,0,309,0,0,Beauty,REJECT
OFFER_00029,509.73,527.93,1,1.4,28,0,22,1,0,Beauty,ACCEPT
OFFER_00030,889.25,794.96,5,1.0,5,0,353,0,0,Toys,ACCEPT
OFFER_00031,304.71,149.07,3,2.5,3,0,107,0,0,Toys,REJECT
OFFER_00032,1769.43,1211.11,5,4.0,16,0,499,0,0,Books,ACCEPT
OFFER_00033,1475.76,933.46,4,4.2,48,0,136,0,0,Books,REJECT
OFFER_00034,1718.6,955.03,4,2.4,15,0,337,0,0,Clothing,REJECT
OFFER_00035,565.46,480.1,4,3.7,35,0,14,0,0,Home & Garden,ACCEPT
OFFER_00036,1967.27,839.59,5,2.7,47,0,223,0,0,Books,REJECT
OFFER_00037,388.26,167.37,4,1.0,35,0,481,0,0,Toys,REJECT
OFFER_00038,1898.26,1982.81,5,2.3,8,0,153,0,0,Toys,ACCEPT
OFFER_00039,598.35,292.65,4,3.7,25,0,462,0,0,Books,REJECT
OFFER_00040,10.81,6.5,4,4.1,39,0,238,0,0,Food & Grocery,REJECT
OFFER_00041,1803.35,1726.2,2,3.6,19,0,324,0,1,Sports,ACCEPT
OFFER_00042,457.03,246.52,1,1.2,31,0,393,1,0,Health,REJECT
OFFER_00043,1395.74,1041.31,2,1.6,45,1,384,0,0,Books,ACCEPT
OFFER_00044,1610.18,1428.45,4,1.2,16,0,62,0,0,Food & Grocery,REJECT
OFFER_00045,1194.95,1272.65,4,3.5,47,0,218,0,0,Home & Garden,ACCEPT
OFFER_00046,954.6,555.04,2,4.4,18,0,266,0,0,Automotive,ACCEPT
OFFER_00047,578.6,341.49,3,4.6,6,1,118,0,0,Sports,ACCEPT
OFFER_00048,821.12,640.33,4,1.2,27,0,394,0,0,Health,REJECT
OFFER_00049,21.73,14.04,4,4.4,27,0,376,0,0,Sports,REJECT
OFFER_00050,553.14,409.3,4,2.3,44,0,370,0,0,Home & Garden,REJECT
OFFER_00051,1072.91,1110.3,5,3.3,2,1,219,0,0,Electronics,ACCEPT
OFFER_00052,661.43,475.1,3,4.0,25,0,487,0,0,Clothing,REJECT
OFFER_00053,1500.56,654.93,3,1.9,5,0,333,1,1,Sports,REJECT
OFFER_00054,50.56,25.62,2,2.9,8,0,111,0,0,Toys,REJECT
OFFER_00055,1218.42,1125.27,1,4.1,11,0,55,0,0,Health,ACCEPT
OFFER_00056,1916.76,1298.91,2,1.3,45,0,124,0,0,Health,REJECT
OFFER_00057,1594.49,1269.46,1,2.4,28,0,35,0,0,Books,REJECT
OFFER_00058,220.02,235.98,4,3.8,28,1,267,0,0,Food & Grocery,ACCEPT
OFFER_00059,935.1,914.54,5,2.1,16,0,44,0,0,Automotive,ACCEPT
OFFER_00060,1339.7,851.35,4,4.4,12,0,181,0,0,Health,REJECT
OFFER_00061,559.77,227.89,2,1.3,47,0,284,0,0,Automotive,REJECT
OFFER_00062,44.31,26.85,4,3.8,20,0,188,0,0,Books,REJECT
OFFER_00063,1105.27,714.3,4,2.1,17,0,369,0,1,Food & Grocery,REJECT
OFFER_00064,1383.43,738.86,4,2.1,38,0,268,0,0,Sports,REJECT
OFFER_00065,728.15,445.33,5,1.5,3,0,283,0,0,Automotive,REJECT
OFFER_00066,34.41,20.61,4,2.8,12,0,129,0,0,Clothing,REJECT
OFFER_00067,157.42,132.33,1,1.6,37,0,43,0,1,Books,ACCEPT
OFFER_00068,1583.57,883.6,5,2.5,29,0,301,0,0,Health,ACCEPT
OFFER_00069,1920.62,901.66,2,3.5,17,0,80,0,0,Home & Garden,ACCEPT
OFFER_00070,906.5,739.4,3,1.1,19,0,359,0,1,Sports,REJECT
OFFER_00071,1577.78,1321.45,2,2.7,35,0,76,0,0,Clothing,ACCEPT
OFFER_00072,1587.33,1296.1,5,4.7,29,1,352,0,0,Beauty,ACCEPT
OFFER_00073,992.65,452.96,1,4.6,48,0,128,1,0,Health,REJECT
OFFER_00074,51.28,47.96,3,3.3,12,0,333,0,0,Health,ACCEPT
OFFER_00075,1630.35,1758.07,4,2.4,22,0,53,0,0,Automotive,ACCEPT
OFFER_00076,1890.94,1833.26,5,1.1,6,0,165,0,0,Food & Grocery,REJECT
OFFER_00077,12.29,12.4,4,2.7,13,0,318,0,0,Electronics,ACCEPT
OFFER_00078,1102.95,1157.4,4,4.5,32,1,498,0,0,Home & Garden,ACCEPT
OFFER_00079,37.21,25.51,2,5.0,8,0,60,0,0,Beauty,REJECT
OFFER_00080,554.12,545.42,4,2.0,36,1,97,0,0,Home & Garden,ACCEPT
OFFER_00081,559.73,533.43,4,2.4,33,0,1,0,0,Health,ACCEPT
OFFER_00082,1323.28,1330.8,4,3.2,23,0,390,0,0,Toys,ACCEPT
OFFER_00083,1961.74,1112.63,4,1.9,27,1,381,0,0,Books,REJECT
OFFER_00084,1330.74,1296.84,2,3.0,3,1,494,0,0,Automotive,ACCEPT
OFFER_00085,1821.78,748.28,2,2.6,42,0,38,0,0,Toys,REJECT
OFFER_00086,800.99,365.43,3,4.4,35,0,162,0,0,Automotive,REJECT
OFFER_00087,81.44,36.48,3,5.0,48,1,500,1,0,Clothing,REJECT
OFFER_00088,1391.06,1436.13,1,2.3,4,0,191,0,0,Books,ACCEPT
OFFER_00089,1587.11,823.69,1,3.4,25,0,123,0,0,Sports,REJECT
